Bus Number,Bus Name,Bus latitude,Bus longitude,Gen bus/ Non-gen bus,Nominal Voltage (KV),Weather Zone
1,Tennessee Colony 345,31.852,-95.888,1,345,EAST
2,Wheeler 345,35.437,-100.197,1,345,NORTH
3,Alpine 2 345,30.429,-103.326,1,345,FWEST
4,Rosharon 345,29.381,-95.47,0,345,COAST
5,Sullivan City 345,26.289,-98.547,0,345,SOUTH
6,Prosper 345,33.242,-96.808,1,345,NCENT
7,Eastland 345,32.399,-98.801,1,345,NCENT
8,Fischer 345,29.971,-98.228,1,345,SCENT
9,Bryan 1 345,30.652,-96.339,0,345,EAST
10,Rowlett 1 345,32.951,-96.566,0,345,NCENT
11,Weatherford 3 345,32.683,-97.782,0,345,NCENT
12,Odonnell 345,32.927,-101.764,1,345,FWEST
13,Dallas 10 345,32.71,-96.679,1,345,NCENT
14,O'Donnell 345,32.928,-101.616,1,345,FWEST
15,Canyon Lake 1 345,29.889,-98.245,1,345,SCENT
16,Adrian 1 345,35.34,-102.795,1,345,NORTH
17,Austin 17 345,30.19,-97.957,1,345,SCENT
18,Taft 2 345,27.966,-97.375,1,345,SOUTH
19,Dilley 1 345,28.703,-99.191,1,345,SOUTH
20,Dallas 8 345,32.782,-96.879,0,345,NCENT
21,San Angelo 3 345,31.278,-100.406,0,345,WEST
22,Carlsbad 345,31.603,-100.669,1,345,WEST
23,Dale 345,29.94,-97.568,1,345,SCENT
24,Brenham 345,30.215,-96.41,0,345,SCENT
25,Raymondville 345,26.488,-97.739,1,345,SOUTH
26,Mccamey 345,31.194,-102.238,1,345,FWEST
27,Fort Worth 16 345,32.824,-97.049,1,345,NCENT
28,Art 345,30.767,-99.05,1,345,WEST
29,Austin 22 345,30.295,-97.808,1,345,SCENT
30,Abilene 2 345,32.336,-99.667,1,345,WEST
31,Campbellton 345,28.721,-98.281,1,345,SOUTH
32,Corpus Christi 11 345,27.835,-97.381,1,345,SOUTH
33,New Braunfels 2 345,29.759,-98.19,1,345,SCENT
34,Abilene 5 345,32.363,-99.817,1,345,WEST
